PDB	resi_min	resi_max	resi_span	resi_count	domainStart	domainStop	domainFrac	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	AlphaFoldDB	note	evidence
6ICH	60	152	93	93	60	152	1	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2MQI	149	248	100	100	149	246	0.98	P06241	reviewed	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537	P06241;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
2MRJ	149	248	100	100	149	246	0.98	P06241	reviewed	FYN_HUMAN	Tyrosine-protein kinase Fyn (EC 2.7.10.2) (Proto-oncogene Syn) (Proto-oncogene c-Fyn) (Src-like kinase) (SLK) (p59-Fyn)	FYN	Homo sapiens (Human)	537	P06241;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1GHU	58	152	95	95	60	152	0.9789473684210527	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
6ICG	58	152	95	95	60	152	0.9789473684210527	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
7MPH	58	152	95	95	60	152	0.9789473684210527	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1CJ1	57	152	96	96	60	152	0.96875	P62993	reviewed	GRB2_HUMAN	Growth factor receptor-bound protein 2 (Adapter protein GRB2) (Protein Ash) (SH2/SH3 adapter GRB2)	GRB2 ASH	Homo sapiens (Human)	217	P62993;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
1AYD	3	103	101	101	6	102	0.9603960396039604	P35235	reviewed	PTN11_MOUSE	Tyrosine-protein phosphatase non-receptor type 11 (EC 3.1.3.48) (Protein-tyrosine phosphatase SYP) (SH-PTP2) (SHP-2) (Shp2)	Ptpn11	Mus musculus (Mouse)	593	P35235;	SH2 1	ECO:0000255|PROSITE-ProRule:PRU00191
2CI8	280	378	99	99	282	376	0.9595959595959596	P16333	reviewed	NCK1_HUMAN	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK	Homo sapiens (Human)	377	P16333;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
3US4	117	213	97	94	122	211	0.9574468085106383	P42679	reviewed	MATK_HUMAN	Megakaryocyte-associated tyrosine-protein kinase (EC 2.7.10.2) (CSK homologous kinase) (CHK) (Hematopoietic consensus tyrosine-lacking kinase) (Protein kinase HYL) (Tyrosine-protein kinase CTK)	MATK CTK HYL	Homo sapiens (Human)	507	P42679;	SH2	ECO:0000255|PROSITE-ProRule:PRU00191
